4.4	Meas:	 1 0	Est	   0.0990087 6.72009e-311    0.0440231 1.59096e-309 6.60536e-310	Number of Objects	0
4.5	Meas:	 1 0	Est	    0.103306 7.39256e-311     0.044979 1.67823e-309 6.88348e-310	Number of Objects	0
4.6	Meas:	 1 0	Est	    0.107691  8.1154e-311     0.045934 1.76827e-309 7.16657e-310	Number of Objects	0
4.7	Meas:	 1 0	Est	    0.112162 8.89112e-311     0.046888  1.8611e-309 7.45458e-310	Number of Objects	0
4.8	Meas:	 1 0	Est	     0.11672 9.72229e-311    0.0478411 1.95672e-309 7.74747e-310	Number of Objects	0
4.9	Meas:	 1 0	Est	    0.121363 1.06115e-310    0.0487932 2.05516e-309 8.04518e-310	Number of Objects	0
5	Meas:	 1 0	Est	    0.126093 1.15615e-310    0.0497444 2.15643e-309 8.34767e-310	Number of Objects	0
5.1	Meas:	 1 0	Est	    0.130908 1.25749e-310    0.0506946 2.26054e-309 8.65488e-310	Number of Objects	0
5.2	Meas:	 1 0	Est	    0.135808 1.36545e-310    0.0516438 2.36751e-309 8.96677e-310	Number of Objects	0
5.3	Meas:	 1 0	Est	    0.140793 1.48031e-310    0.0525921 2.47734e-309 9.28328e-310	Number of Objects	0
5.4	Meas:	 1 0	Est	    0.145863 1.60237e-310    0.0535395 2.59005e-309 9.60437e-310	Number of Objects	0
5.5	Meas:	 1 0	Est	    0.151017 1.73191e-310    0.0544859 2.70564e-309 9.92998e-310	Number of Objects	0
5.6	Meas:	 1 0	Est	    0.156255 1.86923e-310    0.0554314 2.82412e-309 1.02601e-309	Number of Objects	0
5.7	Meas:	 1 0	Est	    0.161578 2.01462e-310    0.0563759 2.94549e-309 1.05946e-309	Number of Objects	0
5.8	Meas:	 1 0	Est	    0.166984  2.1684e-310    0.0573195 3.06977e-309 1.09334e-309	Number of Objects	0
5.9	Meas:	 1 0	Est	    0.172473 2.33086e-310    0.0582621 3.19695e-309 1.12766e-309	Number of Objects	0
6	Meas:	 1 0	Est	    0.178046 2.50233e-310    0.0592038 3.32703e-309 1.16241e-309	Number of Objects	0
6.1	Meas:	 1 0	Est	    0.183702 2.68311e-310    0.0601445 3.46003e-309 1.19758e-309	Number of Objects	0
6.2	Meas:	 1 0	Est	     0.18944 2.87353e-310    0.0610843 3.59593e-309 1.23317e-309	Number of Objects	0
6.3	Meas:	 1 0	Est	     0.19526  3.0739e-310    0.0620232 3.73474e-309 1.26917e-309	Number of Objects	0
6.4	Meas:	 1 0	Est	    0.201163 3.28455e-310    0.0629611 3.87645e-309 1.30557e-309	Number of Objects	0
6.5	Meas:	 1 0	Est	    0.207148  3.5058e-310    0.0638981 4.02107e-309 1.34238e-309	Number of Objects	0
6.6	Meas:	 1 0	Est	    0.213214 3.73798e-310    0.0648341 4.16858e-309 1.37959e-309	Number of Objects	0
6.7	Meas:	 1 0	Est	    0.219361 3.98143e-310    0.0657692 4.31898e-309 1.41719e-309	Number of Objects	0
6.8	Meas:	 1 0	Est	     0.22559 4.23647e-310    0.0667034 4.47227e-309 1.45517e-309	Number of Objects	0
6.9	Meas:	 1 0	Est	    0.231899 4.50344e-310    0.0676366 4.62844e-309 1.49354e-309	Number of Objects	0
7	Meas:	 1 0	Est	    0.238289 4.78267e-310    0.0685689 4.78747e-309 1.53229e-309	Number of Objects	0
7.1	Meas:	 1 0	Est	    0.244759  5.0745e-310    0.0695003 4.94937e-309  1.5714e-309	Number of Objects	0
7.2	Meas:	 1 0	Est	    0.251309 5.37927e-310    0.0704307 5.11411e-309 1.61089e-309	Number of Objects	0
7.3	Meas:	 1 0	Est	     0.25794 5.69731e-310    0.0713602 5.28169e-309 1.65074e-309	Number of Objects	0
7.4	Meas:	 1 0	Est	    0.264649 6.02896e-310    0.0722888  5.4521e-309 1.69094e-309	Number of Objects	0
7.5	Meas:	 1 0	Est	    0.271438 6.37456e-310    0.0732165 5.62532e-309  1.7315e-309	Number of Objects	0
7.6	Meas:	 1 0	Est	    0.278306 6.73445e-310    0.0741432 5.80133e-309 1.77241e-309	Number of Objects	0
7.7	Meas:	 1 0	Est	    0.285253 7.10896e-310     0.075069 5.98012e-309 1.81366e-309	Number of Objects	0
7.8	Meas:	 1 0	Est	    0.292278 7.49844e-310    0.0759938 6.16168e-309 1.85525e-309	Number of Objects	0
7.9	Meas:	 1 0	Est	    0.299382 7.90321e-310    0.0769178 6.34598e-309 1.89717e-309	Number of Objects	0
8	Meas:	 1 0	Est	    0.306564  8.3236e-310    0.0778408 6.53301e-309 1.93943e-309	Number of Objects	0
8.1	Meas:	 1 0	Est	    0.313823 8.75996e-310    0.0787629 6.72276e-309   1.982e-309	Number of Objects	0
8.2	Meas:	 1 0	Est	    0.321161 9.21262e-310     0.079684 6.91519e-309  2.0249e-309	Number of Objects	0
8.3	Meas:	 1 0	Est	    0.328575 9.68189e-310    0.0806043 7.11029e-309 2.06811e-309	Number of Objects	0
8.4	Meas:	 1 0	Est	    0.336067 1.01681e-309    0.0815236 7.30804e-309 2.11163e-309	Number of Objects	0
8.5	Meas:	 1 0	Est	    0.343635 1.06716e-309     0.082442 7.50841e-309 2.15546e-309	Number of Objects	0
8.6	Meas:	 1 0	Est	     0.35128 1.11927e-309    0.0833595 7.71138e-309 2.19959e-309	Number of Objects	0
8.7	Meas:	 1 0	Est	    0.359001 1.17317e-309    0.0842761 7.91693e-309 2.24402e-309	Number of Objects	0
8.8	Meas:	 1 0	Est	    0.366798 1.22889e-309    0.0851917 8.12503e-309 2.28874e-309	Number of Objects	0
8.9	Meas:	 1 0	Est	    0.374671 1.28647e-309    0.0861064 8.33566e-309 2.33374e-309	Number of Objects	0
9	Meas:	 1 0	Est	     0.38262 1.34593e-309    0.0870203 8.54879e-309 2.37903e-309	Number of Objects	0
9.1	Meas:	 1 0	Est	    0.390644  1.4073e-309    0.0879332 8.76439e-309  2.4246e-309	Number of Objects	0
9.2	Meas:	 1 0	Est	    0.398744 1.47062e-309    0.0888451 8.98244e-309 2.47044e-309	Number of Objects	0
9.3	Meas:	 1 0	Est	    0.406918 1.53591e-309    0.0897562  9.2029e-309 2.51655e-309	Number of Objects	0
9.4	Meas:	 1 0	Est	    0.415166  1.6032e-309    0.0906664 9.42576e-309 2.56293e-309	Number of Objects	0
9.5	Meas:	 1 0	Est	    0.423489 1.67253e-309    0.0915756 9.65097e-309 2.60957e-309	Number of Objects	0
9.6	Meas:	 1 0	Est	    0.431887 1.74391e-309     0.092484 9.87851e-309 2.65647e-309	Number of Objects	0
9.7	Meas:	 1 0	Est	    0.440358 1.81738e-309    0.0933914 1.01084e-308 2.70362e-309	Number of Objects	0
9.8	Meas:	 1 0	Est	    0.448903 1.89295e-309     0.094298 1.03405e-308 2.75102e-309	Number of Objects	0
9.9	Meas:	 1 0	Est	    0.457521 1.97067e-309    0.0952036 1.05748e-308 2.79866e-309	Number of Objects	0
10	Meas:	 1 0	Est	    0.466213 2.05055e-309    0.0961083 1.08113e-308 2.84655e-309	Number of Objects	0
10.1	Meas:	 1 0	Est	    0.474977 2.13262e-309    0.0970121 1.10501e-308 2.89467e-309	Number of Objects	0
10.2	Meas:	 1 0	Est	    0.483814  2.2169e-309     0.097915 1.12909e-308 2.94302e-309	Number of Objects	0
10.3	Meas:	 1 0	Est	    0.492724 2.30342e-309     0.098817 1.15339e-308  2.9916e-309	Number of Objects	0
10.4	Meas:	 1 0	Est	    0.501706 2.39219e-309    0.0997181 1.17789e-308 3.04041e-309	Number of Objects	0
10.5	Meas:	 1 0	Est	     0.51076 2.48324e-309     0.100618 1.20259e-308 3.08943e-309	Number of Objects	0
